"code";"deb_sem";"abon";"abv";"abz";"ahh";"ajb";"ambl";"ants";"atb";"bel";"bela";"bhk";"boe";"bos";"cda";"die";"diri";"dona";"dri";"ejd";"far";"fito";"fns";"iho";"mae";"mand";"mdv";"mhj";"mia";"miad";"mjr";"mnj";"mnld";"mora";"mrb";"mrg";"mrt";"mtn";"nsb";"samp";"sbv";"snam";"stm";"tanb";"tdd";"tgr";"tlr";"toa";"tomp";"tsar";"tsim";"tsl";"velo";"vink";"vola"
"2015_19";"2015-05-04";0;1;5;4;1;0;3;11;1;1;3;7;1;9;21;1;2;16;1;7;0;0;6;11;1;12;0;10;1;0;6;4;1;15;4;7;11;1;4;0;3;4;5;13;1;6;3;1;4;2;3;0;2;1
"2015_18";"2015-04-27";1;0;5;0;2;0;3;13;4;2;0;15;5;5;16;2;0;7;0;14;0;2;2;28;0;0;2;4;3;6;9;1;1;7;10;4;8;4;4;7;3;0;1;12;2;4;3;1;1;2;7;0;1;1
"2015_17";"2015-04-20";1;5;6;4;0;0;0;0;26;0;0;3;4;1;23;1;3;19;3;7;0;4;8;3;1;4;1;0;3;2;3;2;1;8;14;2;2;33;3;5;2;3;8;9;6;7;14;0;2;1;7;4;0;0
"2015_16";"2015-04-13";1;2;3;5;0;0;3;2;31;2;2;9;4;1;8;1;3;1;1;9;0;0;12;25;2;4;6;0;2;3;8;5;1;6;10;5;12;36;5;2;0;3;6;9;6;6;5;0;0;2;3;1;0;1
"2015_15";"2015-04-06";0;4;5;2;2;0;0;3;10;0;3;4;6;8;2;1;2;11;0;2;0;0;4;5;0;9;7;5;1;3;2;7;1;3;4;2;12;25;1;8;2;3;4;12;7;8;10;1;1;2;7;4;1;1
"2015_14";"2015-03-30";2;4;7;4;1;0;3;11;7;4;4;7;7;0;7;1;1;12;3;5;0;1;8;33;0;11;7;0;2;3;5;1;0;16;7;2;10;14;5;10;3;0;7;4;0;2;5;0;2;1;1;0;0;1
"2015_13";"2015-03-23";1;1;6;2;2;0;1;0;31;2;1;15;3;2;27;0;0;14;2;3;0;6;10;12;2;11;2;4;2;3;3;8;0;16;12;3;7;21;2;1;0;0;8;5;0;1;7;0;4;2;3;1;2;1
"2015_12";"2015-03-16";2;3;0;0;0;0;1;10;31;2;3;4;2;1;23;2;0;19;0;4;0;3;5;34;2;0;5;8;1;3;5;2;0;15;17;3;6;14;5;7;1;3;7;4;0;4;8;0;1;0;0;4;2;1
"2015_11";"2015-03-09";2;7;7;1;0;0;2;7;28;5;1;2;6;8;12;1;0;15;2;0;0;6;3;7;1;10;8;6;2;6;1;8;1;11;1;6;11;10;5;1;0;4;4;3;0;8;12;0;0;0;0;1;1;0
"2015_10";"2015-03-02";1;5;3;3;1;0;2;8;21;0;4;14;1;8;22;2;0;4;1;9;0;5;8;22;2;2;1;9;5;3;1;9;0;4;2;0;13;37;0;3;0;3;7;9;2;0;8;1;4;2;7;0;0;1
"2015_09";"2015-02-23";0;6;8;2;1;0;3;5;24;1;0;2;3;9;20;1;0;19;1;6;0;3;11;8;2;1;6;14;5;2;3;5;1;5;10;5;3;25;5;4;0;1;2;1;6;2;2;0;1;1;2;2;1;0
"2015_08";"2015-02-16";2;7;8;1;1;0;2;5;0;4;1;11;3;4;14;2;2;7;1;3;0;5;7;4;1;7;7;5;4;1;4;4;0;5;0;1;10;22;1;1;0;1;2;9;6;2;6;1;1;2;1;4;0;0
"2015_07";"2015-02-09";2;7;3;4;1;0;1;13;7;1;0;15;3;10;4;2;1;9;1;7;0;2;12;13;2;12;0;8;3;1;9;9;0;11;6;3;6;4;4;10;0;0;7;1;3;0;3;1;2;1;5;0;2;0
